,App,Freq,Dev,real,Total_Acumulada,A15_Acumulada,A7_Acumulada,GPU_Acumulada,MEM_Acumulada
0,2DCONV,0.177,GPU,6.195633333333333,10.947488833333331,3.403971333333333,0.41379826666666664,0.33777976666666665,0.5963061333333334
1,2DCONV,0.266,GPU,6.051266666666668,10.378180766666668,3.1294120000000003,0.37864613333333336,0.29276246666666667,0.5260935
2,2DCONV,0.35,GPU,6.0302999999999995,10.192914266666666,3.040314,0.370649,0.25053300000000006,0.5011182666666667
3,2DCONV,0.42,GPU,5.977500000000001,10.147383666666668,2.9637006666666674,0.36179429999999996,0.35259530000000006,0.4917934000000001
4,2DCONV,0.48,GPU,6.005933333333334,10.8151562,3.4395723333333326,0.36861243333333327,0.4667467666666667,0.5342913333333336
5,2DCONV,0.543,GPU,5.963066666666666,10.176625166666666,2.9709676666666667,0.36069746666666674,0.38799000000000006,0.49390336666666673
6,2DCONV,0.6,GPU,5.950499999999999,10.168002566666665,2.9794636666666667,0.3607849333333333,0.39006113333333325,0.48719283333333346
7,2MM,0.177,GPU,103.76293333333334,191.42744266666665,20.157729999999997,6.2435696666666685,52.325206666666666,8.938002999999998
8,2MM,0.266,GPU,70.17706666666666,146.306138,13.9098,4.297825,51.54430333333334,6.377143000000001
9,2MM,0.35,GPU,54.23679999999999,125.90829,11.191210000000002,3.383405333333334,51.947573333333345,5.149301333333331
10,2MM,0.42,GPU,45.90916666666667,113.72321966666667,9.305963666666667,2.81225,51.27577333333333,4.420066
11,2MM,0.48,GPU,40.76463333333333,107.26481566666666,8.389962333333333,2.5126643333333334,51.575026666666666,4.0225290000000005
12,2MM,0.543,GPU,36.475433333333335,102.25892933333333,7.639514999999999,2.285099333333333,52.13529666666666,3.7235849999999995
13,2MM,0.6,GPU,33.49846666666666,98.72368466666666,7.090811333333335,2.101761,52.55795333333333,3.474692333333334
14,3DCONV,0.177,GPU,2.2281000000000004,4.511314333333334,1.4972796666666668,0.18866313333333334,0.2823534999999999,0.3149180333333333
15,3DCONV,0.266,GPU,2.038433333333333,3.7362294333333326,1.2181256666666667,0.14760533333333334,0.09761356666666667,0.23445153333333332
